year,GDP,Name,pop,pollution,temp,precip
2006,5.2561,GE_Meyrin_suburban,430638.0,,5.95,1469.9
2006,3.304,LU_Rigi_rural,356384.0,,5.95,1527.6
2006,4.0593,NE_Chaumont_rural,168444.0,,5.95,1429.8
2006,3.4639,TG_Taenikon_rural,234332.0,,5.95,1012.6
2006,3.7049,TI_Lugano_urban,322276.0,,5.95,1799.2
2006,3.8039,VD_Lausanne_urban,654093.0,,5.95,1286.3
2006,3.802,VS_Saxon_rural,291575.0,,5.95,733.3
2006,4.752,ZH_Zuerich_urban,1272590.0,,5.95,1244.5
2007,2.4726,BE_Bern_urban,958845.0,,6.06,1378.4
2007,3.6057,BL_BaselBinningen_suburban,267166.0,,6.06,1419.9
2007,3.8354,BS_Basel_urban,184822.0,,6.06,1419.9
2007,6.323,GE_Meyrin_suburban,433235.0,,6.06,1450.8
2007,2.9923,LU_Rigi_rural,359110.0,,6.06,1766.3
2007,3.8333,NE_Chaumont_rural,168912.0,,6.06,1615.2
2007,3.2545,TG_Taenikon_rural,235764.0,,6.06,942.5
2007,3.4515,TI_Lugano_urban,324851.0,,6.06,1600.4
2007,4.4974,VD_Lausanne_urban,662145.0,,6.06,1306.5
2007,4.0373,VS_Saxon_rural,294608.0,,6.06,1023.2
2007,4.8781,ZH_Zuerich_urban,1284052.0,,6.06,1200.8
2008,2.569,BE_Bern_urban,962932.0,,5.61,1028.9
2008,3.0671,BL_BaselBinningen_suburban,269145.0,,5.61,1209.8
2008,2.5213,BS_Basel_urban,185227.0,,5.61,1209.8
2008,2.6112,GE_Meyrin_suburban,438177.0,,5.61,1401.7
2008,2.7531,LU_Rigi_rural,363475.0,,5.61,1430.2
2008,3.7115,NE_Chaumont_rural,169782.0,,5.61,1330.3
2008,2.2605,TG_Taenikon_rural,238316.0,,5.61,965.4
2008,2.1647,TI_Lugano_urban,328580.0,,5.61,2839.6
2008,3.9127,VD_Lausanne_urban,672039.0,,5.61,1170.3
2008,3.7633,VS_Saxon_rural,298580.0,,5.61,872.5
2008,1.6078,ZH_Zuerich_urban,1307567.0,,5.61,1111.5
2009,-2.3786,BE_Bern_urban,969250.0,,5.8,1057.9
2009,-1.3227,BL_BaselBinningen_suburban,271214.0,,5.8,1242.7
2009,-3.1888,BS_Basel_urban,186672.0,,5.8,1242.7
2009,-2.0992,GE_Meyrin_suburban,446106.0,,5.8,1025.8
2009,-2.4398,LU_Rigi_rural,368742.0,,5.8,1400.8
2009,-7.7377,NE_Chaumont_rural,170924.0,,5.8,998.8
2009,-3.8407,TG_Taenikon_rural,241811.0,,5.8,975.1
2009,-2.2744,TI_Lugano_urban,332736.0,,5.8,2247.7
2009,2.1038,VD_Lausanne_urban,688245.0,,5.8,978.3
2009,1.5185,VS_Saxon_rural,303241.0,,5.8,717.6
2009,-1.8587,ZH_Zuerich_urban,1332727.0,,5.8,1118.1
2010,2.9765,BE_Bern_urban,974186.0,,4.68,993.0
2010,2.7039,BL_BaselBinningen_suburban,272815.0,,4.68,1198.1
2010,3.9828,BS_Basel_urban,187898.0,,4.68,1198.1
2010,3.2554,GE_Meyrin_suburban,453292.0,,4.68,1007.0
2010,5.9697,LU_Rigi_rural,372964.0,,4.68,1533.6
2010,2.9532,NE_Chaumont_rural,171647.0,,4.68,961.3
2010,5.2281,TG_Taenikon_rural,244805.0,,4.68,963.5
2010,2.4531,TI_Lugano_urban,335720.0,,4.68,2390.2
2010,4.6104,VD_Lausanne_urban,701526.0,,4.68,958.0
2010,3.1476,VS_Saxon_rural,307392.0,,4.68,648.1
2010,1.7347,ZH_Zuerich_urban,1351297.0,,4.68,1189.8
2011,0.9864,BE_Bern_urban,979754.0,,6.62,832.5
2011,2.3407,BL_BaselBinningen_suburban,274404.0,,6.62,948.1
2011,8.71,BS_Basel_urban,184950.0,,6.62,948.1
2011,0.0818,GE_Meyrin_suburban,457715.0,,6.62,1021.7
2011,1.0807,LU_Rigi_rural,377610.0,,6.62,1211.1
2011,8.5294,NE_Chaumont_rural,172085.0,,6.62,955.3
2011,3.1803,TG_Taenikon_rural,248444.0,,6.62,856.2
2011,1.8031,TI_Lugano_urban,333753.0,,6.62,1728.0
2011,2.8326,VD_Lausanne_urban,713281.0,,6.62,912.8
2011,1.8104,VS_Saxon_rural,312684.0,,6.62,692.9
2011,0.8568,ZH_Zuerich_urban,1373068.0,,6.62,964.9
2012,0.1286,BE_Bern_urban,985000.0,,5.82,1190.0
2012,-1.336,BL_BaselBinningen_suburban,275360.0,,5.82,1424.7
2012,-2.3053,BS_Basel_urban,186255.0,,5.82,1424.7
2012,2.196,GE_Meyrin_suburban,460534.0,,5.82,1288.1
2012,1.0806,LU_Rigi_rural,381966.0,,5.82,1713.1
2012,2.9643,NE_Chaumont_rural,173183.0,,5.82,1443.1
2012,1.621,TG_Taenikon_rural,251973.0,,5.82,1068.0
2012,1.226,TI_Lugano_urban,336943.0,,5.82,1888.7
2012,1.2184,VD_Lausanne_urban,725944.0,,5.82,1269.8
2012,0.1374,VS_Saxon_rural,317022.0,,5.82,948.4
2012,1.6332,ZH_Zuerich_urban,1392396.0,,5.82,1379.7
2013,1.4936,BE_Bern_urban,992567.0,,5.27,1196.9
2013,1.4872,BL_BaselBinningen_suburban,276537.0,,5.27,1345.8
2013,2.0532,BS_Basel_urban,187425.0,,5.27,1345.8
2013,2.0344,GE_Meyrin_suburban,463101.0,,5.27,1464.8
2013,2.6576,LU_Rigi_rural,386082.0,,5.27,1492.9
2013,1.6708,NE_Chaumont_rural,174554.0,,5.27,1407.8
2013,1.8461,TG_Taenikon_rural,256213.0,,5.27,1056.8
2013,3.6227,TI_Lugano_urban,341652.0,,5.27,2218.8
2013,1.4236,VD_Lausanne_urban,734356.0,,5.27,1484.9
2013,0.7648,VS_Saxon_rural,321732.0,,5.27,826.7
2013,1.9135,ZH_Zuerich_urban,1408575.0,,5.27,1252.0
2014,2.0685,BE_Bern_urban,1001232.0,27.32776203966006,6.51,1199.3
2014,4.0483,BL_BaselBinningen_suburban,278656.0,17.398630136986302,6.51,1148.1
2014,4.8645,BS_Basel_urban,189335.0,18.96510989010989,6.51,1148.1
2014,1.1768,GE_Meyrin_suburban,469433.0,18.474504249291783,6.51,1192.4
2014,2.5553,LU_Rigi_rural,390349.0,7.619263456090652,6.51,1462.0
2014,2.5963,NE_Chaumont_rural,176402.0,7.908498583569404,6.51,1147.8
2014,1.7213,TG_Taenikon_rural,260278.0,15.251558073654392,6.51,943.2
2014,2.4781,TI_Lugano_urban,346539.0,18.10630136986301,6.51,3089.1
2014,2.6627,VD_Lausanne_urban,749373.0,20.21534090909091,6.51,1272.2
2014,0.7065,VS_Saxon_rural,327011.0,16.73076923076923,6.51,844.9
2014,2.7983,ZH_Zuerich_urban,1425538.0,18.617403314917127,6.51,1157.6
2014,2.7983,ZH_Zuerich_urban,1425538.0,22.243142857142857,6.51,1157.6
2015,0.0443,BE_Bern_urban,1009370.0,,6.67,875.0
2015,4.7816,BL_BaselBinningen_suburban,281301.0,,6.67,998.4
2015,7.0768,BS_Basel_urban,190580.0,,6.67,998.4
2015,1.0681,GE_Meyrin_suburban,477385.0,,6.67,1214.6
2015,2.488,LU_Rigi_rural,394604.0,,6.67,1263.6
2015,2.476,NE_Chaumont_rural,177327.0,,6.67,976.5
2015,0.3071,TG_Taenikon_rural,263733.0,,6.67,792.7
2015,1.1519,TI_Lugano_urban,350363.0,,6.67,1797.6
2015,1.5928,VD_Lausanne_urban,761446.0,,6.67,907.4
2015,2.274,VS_Saxon_rural,331763.0,,6.67,759.6
2015,1.7293,ZH_Zuerich_urban,1446354.0,,6.67,921.9
2016,-0.0553,BE_Bern_urban,1017434.0,20.433742561983472,6.07,1261.7
2016,1.5498,BL_BaselBinningen_suburban,283231.0,14.38328890410959,6.07,1370.7
2016,10.1866,BS_Basel_urban,191817.0,17.46971572413793,6.07,1370.7
2016,1.1793,GE_Meyrin_suburban,484736.0,17.024627671232874,6.07,1341.6
2016,2.2546,LU_Rigi_rural,398762.0,7.323443561643836,6.07,1455.3
2016,-1.6498,NE_Chaumont_rural,178107.0,7.277515405777167,6.07,1287.6
2016,2.4599,TG_Taenikon_rural,267429.0,12.342223561643836,6.07,1091.2
2016,0.4278,TI_Lugano_urban,351946.0,16.357618767123288,6.07,1887.1
2016,3.237,VD_Lausanne_urban,773407.0,16.72630950413223,6.07,1373.3
2016,0.6974,VS_Saxon_rural,335696.0,15.369266117969822,6.07,887.0
2016,1.4892,ZH_Zuerich_urban,1466424.0,15.70976904109589,6.07,1277.1
2016,1.4892,ZH_Zuerich_urban,1466424.0,17.3544825,6.07,1277.1
2017,1.0315,BE_Bern_urban,1026464.0,,6.19,985.1
2017,1.4865,BL_BaselBinningen_suburban,285624.0,13.690007650273223,6.19,1178.6
2017,8.1624,BS_Basel_urban,193070.0,,6.19,1178.6
2017,1.8423,GE_Meyrin_suburban,489524.0,,6.19,1028.1
2017,1.8622,LU_Rigi_rural,403397.0,,6.19,1372.7
2017,3.3776,NE_Chaumont_rural,178567.0,,6.19,1028.5
2017,1.0071,TG_Taenikon_rural,270709.0,,6.19,929.7
2017,-0.9664,TI_Lugano_urban,354375.0,,6.19,2011.5
2017,-0.7166,VD_Lausanne_urban,784822.0,,6.19,1026.6
2017,1.8542,VS_Saxon_rural,339176.0,,6.19,767.1
2017,2.5858,ZH_Zuerich_urban,1487969.0,,6.19,986.8
2018,1.9068,BE_Bern_urban,1031080.0,20.12737668965517,6.88,993.4
2018,-0.426,BL_BaselBinningen_suburban,287023.0,13.529902754820936,6.88,921.6
2018,3.8083,BS_Basel_urban,193908.0,16.2967801369863,6.88,921.6
2018,3.338,GE_Meyrin_suburban,495249.0,15.822675623268696,6.88,1332.4
2018,1.1087,LU_Rigi_rural,406506.0,6.406768536251709,6.88,1057.1
2018,4.4176,NE_Chaumont_rural,177964.0,6.410777884615385,6.88,1146.7
2018,1.8766,TG_Taenikon_rural,273801.0,11.386715818431911,6.88,736.3
2018,3.4376,TI_Lugano_urban,353709.0,17.067997252747254,6.88,1879.9
